ID	DOCULECT	CONCEPT	VALUE	TOKENS	LANGID	COGID	ALIGNMENT	CONCEPT_PORTUGUESE	CONCEPTICON_ID	CONCEPT_ORIGINAL_LISTS	SOURCE
1865	Warekena	BARK		g u w i ʃ a	8	2007			1204	bark	Aikhenvald 2012
1885	Warekena	BARK		m a: t a h ã	8	29	m a: t a h ã - - - - - - -		1204	bark	Aikhenvald 2012
1907	Warekena	BARK		n u ʃ u	8	38			1204	bark	Aikhenvald 2012
441	Baniwa_Waliperidakenai	NECK	ɽinɔɽi	ɽ i n ɔ ɽ i	11	21566	ɽ i n ɔ - ɽ i - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
442	Baniwa_Hohoodene	NECK	panoʐo	p a n o ʐ o	4	21566	p a n o - ʐ o - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
443	Baniwa_Dzurema	NECK	ɽinoʐo	ɽ i n o ʐ o	2	21566	ɽ i n o - ʐ o - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
444	Baniwa_Mauliene	NECK	nunuʐo	n u n u ʐ o	8	21566	n u n u - ʐ o - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
447	Koripako_Kumadene	NECK	nunapokoda	n u n a p o k o d a	7	228	n u n a p o k o d a	pescoço	1333	neck	Bruzzi Alves da Silva 1961
448	Baniwa_Kowaidakenai	NECK	ɽinuʐu	ɽ i n u ʐ u	5	21566	ɽ i n u - ʐ u - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
449	Baniwa_Dzawinai	NECK	ɽinuʐu	ɽ i n u ʐ u	14	21566	ɽ i n u - ʐ u - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
450	Tariana_Bruzzi	NECK	panʰoɾuː	p a nʰ o ɾ uː	12	21566	p a nʰ o - ɾ uː - - - - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
451	Koripako_aha	NECK	linoːsrojapi	l i n oː s ɾ o j a p i	1	21566	l i n oː s ɾ o j a p i -	pescoço	1333	neck	Granadillo 2006
452	Koripako_ehe	NECK	linoːru	l i n oː ɾ u	3	21566	l i n oː - ɾ u - - - - -	pescoço	1333	neck	Granadillo 2006
453	Koripako_oho	NECK	liweːdaliko	l i w eː d a l i k o	10	211	l i w eː d a l i k o	pescoço	1333	neck	Granadillo 2006
454	Koripako_name	NECK	liweːdaliko	l i w eː d a l i k o	9	211	l i w eː d a l i k o	pescoço	1333	neck	Granadillo 2006
455	Werekena_Baniva	NECK	nunupi	n u n u p i	13	21566	- - n u - n u - p i - -	pescoço	1333	neck	Bruzzi Alves da Silva 1961
2497	Achagua	NECK	wáaʃi	w a: ʃ i	1	211	- - w a: - - ʃ i - -		1333	neck	Melendez 2011
2499	Baniwa	NECK	-nóoro	n ó o r o	2	21566	- - n ó o r o - - - - -		1333	neck	Ramirez 2001
2501	Baré	NECK		n u ʰn u	3	21566	- - n u - ʰn u - - - - -		1333	neck	Oliveira 93
2503	Kabiyari	NECK	kanhapi	k a nʰ a p i	4	228	k a nʰ a p i - - - -		1333	neck	Epps
2505	Piapoco	NECK	canápi	k a n á p i	5	228	k a n á p i - - - -		1333	neck	Epps
2509	Resigaro	NECK	-iñočhí	i ñ o tʃh í	6	21566	- i ñ o - tʃh í - - - - -		1333	neck	Allin 1979
2511	Tariana	NECK		dh i n ú ɾ u	7	21566	dh i n ú - ɾ u - - - - -		1333	neck	Aikhenvald 2001
2513	Yukuna	NECK	núrupiji	n ú r u p i h i	9	21566	- - n ú - r u - p i h i		1333	neck	Epps
2515	Warekena	NECK		n u n u p i	8	21566	- - n u - n u - p i - -		1333	neck	Aikhenvald 2012
5057	Kauixana	NECK	nótso	n ó ts o	15	21566	- - n ó - ts o - - - - -	pescoço			
6149	Yumana	NECK	márpii	m á r p ii	16		m á r p ii	pescoço			Ramirez 2020
6153	Yumana	NECK	larap[u]ɨ	l a r a p [u] ɨ	16	228	l a r a p [u] ɨ	pescoço			Ramirez 2020
6154	Yumana	NECK	[o]attá	[o] a tt á	16	211	- - [o] a tt á - - - -	pescoço			Ramirez 2020
6256	Passé	NECK	notó	n o t ó	17	21566	- - n o - t ó - - - - -	pescoço			Ramirez 2020
6258	Passé	NECK	tolho	t o lh o	17	21566	- - t o - lh o - - - - -	pescoço			Ramirez 2020
456	Baniwa_Waliperidakenai	NEW	waɽipɛ	w a ɽ i p ɛ	11	21567	w a ɽ i - p ɛ - -	novo	1231	new	Bruzzi Alves da Silva 1961
459	Baniwa_Hohoodene	NEW	waːɽipɛ	w aː ɽ i p ɛ	4	21567	w aː ɽ i - p ɛ - -	novo	1231	new	Bruzzi Alves da Silva 1961
460	Baniwa_Dzurema	NEW	waɽidaɽi	w a ɽ i d a ɽ i	2	21567	w a ɽ i - d a ɽ i	novo	1231	new	Bruzzi Alves da Silva 1961
461	Baniwa_Mauliene	NEW	wahitɛ	w a h i t ɛ	8	59	w a h i - t ɛ - -	novo	1231	new	Bruzzi Alves da Silva 1961
462	Koripako_Kumadene	NEW	waɽidaɽi	w a ɽ i d a ɽ i	7	21567	w a ɽ i - d a ɽ i	novo	1231	new	Bruzzi Alves da Silva 1961
463	Baniwa_Kowaidakenai	NEW	waːɽite	w aː ɽ i t e	5	21567	w aː ɽ i - t e - -	novo	1231	new	Bruzzi Alves da Silva 1961
464	Baniwa_Dzawinai	NEW	waːɽite	w aː ɽ i t e	14	21567	w aː ɽ i - t e - -	novo	1231	new	Bruzzi Alves da Silva 1961
465	Tariana_Bruzzi	NEW	waɾipeɾi	w a ɾ i p e ɾ i	12	21567	w a ɾ i - p e ɾ i	novo	1231	new	Bruzzi Alves da Silva 1961
466	Koripako_aha	NEW	walidali	w a l i d a l i	1	21567	w a l i - d a l i	novo	1231	new	Granadillo 2006
467	Koripako_ehe	NEW	walidali	w a l i d a l i	3	21567	w a l i - d a l i	novo	1231	new	Granadillo 2006
468	Koripako_oho	NEW	walidale	w a l i d a l e	10	21567	w a l i - d a l e	novo	1231	new	Granadillo 2006
471	Koripako_name	NEW	waːlidali	w aː l i d a l i	9	21567	w aː l i - d a l i	novo	1231	new	Granadillo 2006
472	Werekena_Baniva	NEW	w̥eniapaɾi	wʰ e n i a p a ɾ i	13	21567	wʰ e n i a p a ɾ i	novo	1231	new	Bruzzi Alves da Silva 1961
2517	Achagua	NEW	wáalii	w a: l i:	1	21567	w a: l i: - - - - -		1231	new	Melendez 2011
2519	Baniwa	NEW	éemi	é e m i	2	565	é e m i - -		1231	new	Ramirez 2001
2521	Baniwa	NEW	wali-	w a l i	2	21567	w a l i - - - - -		1231	new	Ramirez 2001
2523	Baniwa	NEW	japiápali	j a p i á p a l i	2	571			1231	new	Ramirez 2001
2525	Baré	NEW		a w i b e i	3	2026	( a - ) w - - i b e i -		1231	new	Oliveira 93
2527	Kabiyari	NEW	wárit̪é	w á r i t̪ é	4	21567	w á r i - t̪ é - -		1231	new	Epps
2533	Piapoco	NEW	wàlisàiri	w à l i s à i r i	5	21567	w à l i s à i r i		1231	new	Epps
2535	Resigaro	NEW	be?é	b e ʔ é	6	569			1231	new	Epps
2537	Tariana	NEW		w a l í t e	7	21567	w a l í t e - - -		1231	new	Aikhenvald 2001
2539	Tariana	NEW		e m í t e	7	565	- e m í t e		1231	new	Aikhenvald 2001
2541	Yukuna	NEW	wajé	w a h é	9	59	w a h é - - - - -		1231	new	Epps
2543	Warekena	NEW		w e n i a p e ɾ i	8	21567	w e n i a p e ɾ i		1231	new	Aikhenvald 2012
5048	Kauixana	NEW	wali-laɾi	w a l i- l a ɾ i	15	21567	w a l i- l a ɾ i	novo			
458	Achagua	CLAW OR NAIL	júbawiaʃi	j u b a w i a ʃ i	1	21509	- - j u - - b a w i a ʃ i		2128	claw	Melendez 2011
470	Baniwa	CLAW OR NAIL	-tsóta	ts ó t a	2	140	- - ts ó - t a - - - - - - - - -		2128	claw	Ramirez2001
482	Baré	CLAW OR NAIL		ʰn a b a	3	21509	- - ʰn - - a b a - - - - -		2128	claw	Oliveira 93
494	Kabiyari	CLAW OR NAIL	u'upa	u ʔ u p a	4	21509	- - - u ʔ u p a - - - - -		2128	claw	Epps
506	Piapoco	CLAW OR NAIL	júuba	j ú u b a	5	21509	- - j ú - u b a - - - - -		2128	claw	Klumpp95
518	Piapoco	CLAW OR NAIL	uba	u b a	5	21509	- - - - - u b a - - - - -		2128	claw	Epps
530	Resigaro	CLAW OR NAIL	hi?táví	h i ʔ t á v í	6	140	- - h i ʔ t á v í - - - - - - -		2128	claw	Epps
542	Tariana	CLAW OR NAIL		d i p á d a	7	21509	d i - - - - p á d a - - -		2128	claw	Aikhenvald 2001
556	Yukuna	CLAW OR NAIL	u'upa	u ʔ u p a	9	21509	- - - u ʔ u p a - - - - -		2128	claw	Epps
568	Warekena	CLAW OR NAIL		n u ʃ u ɾ a w i _ n a p i b u	8	140	n u ʃ u - ɾ a w i _ n a p i b u		2128	claw	Aikhenvald 2012
5071	Kauixana	CLAW OR NAIL	opaʔa	o p a ʔ a	15	21509	- - - - - o p a ʔ a - - -	unha			
6196	Yumana	CLAW OR NAIL	upa	u p a	16	21509	- - - - - u p a - - - - -	unha			Ramirez 2020
6265	Passé	CLAW OR NAIL	opah	o p a h	17	21509	- - - - - o p a h - - - -	unha			Ramirez 2020
473	Baniwa_Waliperidakenai	NIGHT	dɛːpi	d ɛː p i	11	138	d ɛː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
474	Baniwa_Hohoodene	NIGHT	deːpi	d eː p i	4	138	d eː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
475	Baniwa_Dzurema	NIGHT	dɛːpi	d ɛː p i	2	138	d ɛː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
476	Baniwa_Mauliene	NIGHT	dɛːpi	d ɛː p i	8	138	d ɛː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
477	Koripako_Kumadene	NIGHT	deːpi	d eː p i	7	138	d eː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
478	Tariana_Kumadene	NIGHT	dɛːpɪ	d ɛː p ɪ	6	138	d ɛː - p ɪ - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
479	Baniwa_Kowaidakenai	NIGHT	deːpi	d eː p i	5	138	d eː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
480	Baniwa_Dzawinai	NIGHT	deːpi	d eː p i	14	138	d eː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
483	Tariana_Bruzzi	NIGHT	deːpi	d eː p i	12	138	d eː - p i - - - -	noite	1233	night	Bruzzi Alves da Silva 1961
484	Koripako_aha	NIGHT	deːpi	d eː p i	1	138	d eː - p i - - - -	noite	1233	night	Granadillo 2006
485	Koripako_ehe	NIGHT	deːpiriku	d eː p i ɾ i k u	3	138	d eː - p i ɾ i k u	noite	1233	night	Granadillo 2006
486	Koripako_oho	NIGHT	deːpina	d eː p i n a	10	138	d eː - p i n a - -	noite	1233	night	Granadillo 2006
487	Koripako_name	NIGHT	deːpi	d eː p i	9	138	d eː - p i - - - -	noite	1233	night	Granadillo 2006
488	Werekena_Baniva	NIGHT	sibuma	s i b u m a	13	2005		noite	1233	night	Bruzzi Alves da Silva 1961
2545	Achagua	NIGHT	táaje	t a: j e	1	138	t a: j - e - - - -		1233	night	Melendez 2011
2547	Baniwa	NIGHT	déepi	d é e p i	2	138	d é e p i - - - -		1233	night	Ramirez 2001
2549	Baré	NIGHT		h e b i n a m a	3	138	h e - b i n a m a		1233	night	Oliveira 93
2551	Kabiyari	NIGHT	néápi	n é á p i	4	138	n é á p i - - - -		1233	night	Epps
2555	Piapoco	NIGHT	catá	k a t á	5	580			1233	night	Epps
2557	Resigaro	NIGHT	naapí	n aa p í	6	138	n aa - p í - - - -		1233	night	Epps
2559	Tariana	NIGHT		d é: p i	7	138	d é: - p i - - - -		1233	night	Aikhenvald 2001
2561	Tariana	NIGHT		d é p i	7	138	d é - p i - - - -		1233	night	Aikhenvald 2001
2563	Yukuna	NIGHT	lapí	l a p í	9	138	l a - p í - - - -		1233	night	Epps
2565	Warekena	NIGHT		j a ʃ a p u a	8	583			1233	night	Aikhenvald 2012
5045	Kauixana	NIGHT	lápi	l á p i	15	138	l á - p i - - - -	noite			
6143	Yumana	NIGHT	ketsé-ka	k e ts é- k a	16	230	k e ts é- k a	noite			Ramirez 2020
6147	Yumana	NIGHT	walajekah	w a l a j e k a h	16		w a l a j e k a h	noite			Ramirez 2020
6233	Passé	NIGHT	lapoto	l a p o t o	17	138	l a - p o t o - -	noite			Ramirez 2020
6238	Passé	NIGHT	Kese-ju	k e s e- j u	17	230	k e s e- j u	noite			Ramirez 2020
504	Baniwa_Waliperidakenai	NOSE	ɽʰitako	ɽʰ i t a k o	11	21569	( - - ) ɽʰ i t a k o - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
507	Baniwa_Hohoodene	NOSE	hɛtako	h ɛ t a k o	4	21569	( - - ) h ɛ t a k o - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
508	Baniwa_Dzurema	NOSE	ɽ̥ʰitako	ɽʰ i t a k o	2	21569	( - - ) ɽʰ i t a k o - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
509	Baniwa_Mauliene	NOSE	ɽitako	ɽ i t a k o	8	21569	( - ɽ ) - i t a k o - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
510	Koripako_Kumadene	NOSE	hitako	h i t a k o	7	21569	( - - ) h i t a k o - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
511	Tariana_Kumadene	NOSE	wahtaku	w a h t a k u	6	21569	( w a ) h - t a k u - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
512	Baniwa_Kowaidakenai	NOSE	ɽitaku	ɽ i t a k u	5	21569	( - ɽ ) - i t a k u - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
513	Baniwa_Dzawinai	NOSE	ɽhitaku	ɽʰ i t a k u	14	21569	( - - ) ɽʰ i t a k u - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
514	Tariana_Bruzzi	NOSE	ɾihtaku	ɾ i h t a k u	12	21569	( ɾ i ) h - t a k u - -	nariz	1221	nose	Bruzzi Alves da Silva 1961
515	Koripako_aha	NOSE	liːtako	l iː t a k o	1	21569	( - l ) - iː t a k o - -	nariz	1221	nose	Granadillo 2006
516	Koripako_oho	NOSE	litako	l i t a k o	10	21569	( - l ) - i t a k o - -	nariz	1221	nose	Granadillo 2006
519	Koripako_name	NOSE	itako	i t a k o	9	21569	( - - ) - i t a k o - -	nariz	1221	nose	Granadillo 2006
520	Werekena_Baniva	NOSE	nujapa	n u j a p a	13	592		nariz	1221	nose	Bruzzi Alves da Silva 1961
2567	Achagua	NOSE	dákuʃi	d a k u ʃ i	1	21569	( - - ) - - d a k u ʃ i		1221	nose	Melendez 2011
2569	Baniwa	NOSE	-hitáko	h i t á k o	2	21569	( - - ) h i t á k o - -		1221	nose	Ramirez 2001
2571	Baré	NOSE		t i	3	587			1221	nose	Oliveira 93
2573	Kabiyari	NOSE	hitákú	h i t á k ú	4	21569	( - - ) h i t á k ú - -		1221	nose	Epps
2577	Piapoco	NOSE	ídacu	í d a k u	5	21569	( - - ) - í d a k u - -		1221	nose	Epps
2579	Resigaro	NOSE	-hitákó	h i t á k ó	6	21569	( - - ) h i t á k ó - -		1221	nose	Allin 1979
2581	Tariana	NOSE		d i tʰ a k ú	7	21569	( - d ) - i tʰ a k ú - -		1221	nose	Aikhenvald 2001
2583	Yukuna	NOSE	takuji	t a k u h i	9	21569	( - - ) - - t a k u h i		1221	nose	Epps
2585	Warekena	NOSE		n u j a p a	8	592			1221	nose	Aikhenvald 2012
5044	Kauixana	NOSE	(h)ɨtokó	[h] ɨ t o k ó	15	21569	( - - ) [h] ɨ t o k ó - -	nariz			
6125	Yumana	NOSE	itʃuku	i tʃ u k u	16	21569	( - - ) - i tʃ u k u - -	nariz			Ramirez 2020
6130	Yumana	NOSE	ɨtʃoko	ɨ tʃ o k o	16	21569	( - - ) - ɨ tʃ o k o - -	nariz			Ramirez 2020
6223	Passé	NOSE	itaku	i t a k u	17	21569	( - i ) t a k u - - - -	nariz			Ramirez 2020
6225	Passé	NOSE	etako	e t a k o	17	21569	( - e ) t a k o - - - -	nariz			Ramirez 2020
534	Baniwa_Waliperidakenai	ONE	apada	a p a d a	11	21575	- a p a - d a - - - -	um	1493	one	Bruzzi Alves da Silva 1961
535	Baniwa_Hohoodene	ONE	apaita	a p a i t a	4	21575	- a p a i t a - - - -	um	1493	one	Bruzzi Alves da Silva 1961
536	Baniwa_Dzurema	ONE	apadata	a p a d a t a	2	21575	- a p a - d a t a - -	um	1493	one	Bruzzi Alves da Silva 1961
537	Baniwa_Mauliene	ONE	padata	p a d a t a	8	21575	- - p a - d a t a - -	um	1493	one	Bruzzi Alves da Silva 1961
538	Koripako_Kumadene	ONE	hapada	h a p a d a	7	21575	h a p a - d a - - - -	um	1493	one	Bruzzi Alves da Silva 1961
539	Tariana_Kumadene	ONE	phɛpɐ	pʰ ɛ p ɐ	6	21575	- - pʰ ɛ - p ɐ - - - -	um	1493	one	Bruzzi Alves da Silva 1961
540	Baniwa_Kowaidakenai	ONE	hapeːpa	h a p eː p a	5	21575	h a p eː - p a - - - -	um	1493	one	Bruzzi Alves da Silva 1961
543	Baniwa_Dzawinai	ONE	hapajta	h a p a j t a	14	21575	h a p a j t a - - - -	um	1493	one	Bruzzi Alves da Silva 1961
544	Tariana_Bruzzi	ONE	pəitetuki	p ə i t e t u k i	12	21575	- - p ə i t e t u k i	um	1493	one	Bruzzi Alves da Silva 1961
545	Koripako_aha	ONE	padatsa	p a d a ts a	1	21575	- - p a - d a ts a - -	um	1493	one	Granadillo 2006
546	Koripako_ehe	ONE	apadanali	a p a d a n a l i	3	21575	- a p a - d a n a l i	um	1493	one	Granadillo 2006
547	Koripako_oho	ONE	padatsa	p a d a ts a	10	21575	- - p a - d a ts a - -	um	1493	one	Granadillo 2006
548	Koripako_name	ONE	padatsa	p a d a ts a	9	21575	- - p a - d a ts a - -	um	1493	one	Granadillo 2006
549	Werekena_Baniva	ONE	patʃɛɾo	p a tʃ ɛ ɾ o	13	21575	- - p a - tʃ ɛ ɾ o - -	um	1493	one	Bruzzi Alves da Silva 1961
2615	Achagua	ONE	áabai	a: b a i	1	21575	- a: b a i - - - - - -		1493	one	Melendez 2011
2617	Baniwa	ONE	a(a)pa-	a ( a ) p a	2	21575	a a p a - - - - - - -		1493	one	Ramirez 2001
2621	Baré	ONE		b a k u	3	21575	- - b a - k u - - - -		1493	one	Oliveira 93
2623	Kabiyari	ONE	pa[pu]	p a [p u]	4	21575	- - p a - [p u] - - - -		1493	one	Epps
2625	Piapoco	ONE	ab[ì-]	a b [ ì ]	5	21575	- a b [ ì ] - - - - -		1493	one	dp91
2627	Piapoco	ONE	abe	a b e	5	21575	- a b e - - - - - - -		1493	one	Epps
2629	Resigaro	ONE	pa[topʰe]	p a [ t o pʰ e ]	6	21575	- - p a [ t o pʰ e ] -		1493	one	Epps
2631	Resigaro	ONE	sagú	s a g ú	6	616			1493	one	Epps
2633	Tariana	ONE		p á: d a	7	21575	- - p á: - d a - - - -		1493	one	Aikhenvald 2001
2635	Yukuna	ONE	pajluwa	p a (h l u w á h a )	9	21575	- - p a (h l u w á h a		1493	one	Epps
2637	Warekena	ONE		a p a	8	21575	- a p a - - - - - - -		1493	one	Ramirez 2001
5070	Kauixana	ONE	pe-l(h)ó	p e- l [h] ó	15	21575	- - p e- - l [h] ó - - -	um			
6014	Kauixana	ONE	pane	p a n e	15	21575	- - p a - n e - - - -				
6101	Kauixana	ONE	pé-l(h)a	p é – l[h] a	15	21575	- - p a - n e - - - -				
6107	Yumana	ONE	aphɨlhá	a pʰ ɨ lh á	16	21575	- a pʰ ɨ - lh á - - - -	um			Ramirez 2020
6112	Yumana	ONE	apé	a p é	16	21575	- a p é - - - - - - -	um			Ramirez 2020
6203	Passé	ONE	apeala	a p e a l a	17	21575	- a p e a l a - - - -	um			Ramirez 2020
6208	Passé	ONE	apa	a p a	17	21575	- a p a - - - - - - -	um			Ramirez 2020
6210	Passé	ONE	apé	a p é	17	21575	- a p é - - - - - - -	um			Ramirez 2020
565	Baniwa_Waliperidakenai	PATH	inipo	i n i p o	11	21579	- i n i - - p o	caminho	2252	path	Bruzzi Alves da Silva 1961
566	Baniwa_Hohoodene	PATH	iːnipo	iː n i p o	4	21579	- iː n i - - p o	caminho	2252	path	Bruzzi Alves da Silva 1961
569	Baniwa_Dzurema	PATH	inípò	i n í p o	2	21579	- i n í - - p o	caminho	2252	path	Bruzzi Alves da Silva 1961
570	Baniwa_Mauliene	PATH	inipo	i n i p o	8	21579	- i n i - - p o	caminho	2252	path	Bruzzi Alves da Silva 1961
571	Koripako_Kumadene	PATH	inipo	i n i p o	7	21579	- i n i - - p o	caminho	2252	path	Bruzzi Alves da Silva 1961
572	Baniwa_Kowaidakenai	PATH	enipu	e n i p u	5	21579	- e n i - - p u	caminho	2252	path	Bruzzi Alves da Silva 1961
573	Baniwa_Dzawinai	PATH	inipu	i n i p u	14	21579	- i n i - - p u	caminho	2252	path	Bruzzi Alves da Silva 1961
574	Tariana_Bruzzi	PATH	hinipu	h i n i p u	12	21579	h i n i - - p u	caminho	2252	path	Bruzzi Alves da Silva 1961
575	Koripako_aha	PATH	wawa	w a w a	1	1180		caminho	2252	path	Granadillo 2006
576	Koripako_ehe	PATH	inipu	i n i p u	3	21579	- i n i - - p u	caminho	2252	path	Granadillo 2006
577	Koripako_oho	PATH	inipo	i n i p o	10	21579	- i n i - - p o	caminho	2252	path	Granadillo 2006
578	Koripako_name	PATH	inipo	i n i p o	9	21579	- i n i - - p o	caminho	2252	path	Granadillo 2006
581	Werekena_Baniva	PATH	tɛnɛpu	t ɛ n ɛ p u	13	21579	t ɛ n ɛ - - p u	caminho	2252	path	Bruzzi Alves da Silva 1961
2639	Achagua	PATH	iníhibaa	i n i h i b a:	1	231	- i n i h i b a:		2252	path	Melendez 2011
2643	Baniwa	PATH	inípo	i n í p o	2	21579	- i n í - - p o		2252	path	Ramirez 2001
2645	Baniwa	PATH	-aapówa	aa p ó w a	2	14	aa p ó - w a - -		2252	path	Ramirez 2001
2647	Baniwa	PATH	-aapowánaa	aa p o w á n aa	2	14	aa p o - w á n aa		2252	path	Ramirez 2001
2649	Baré	PATH		d i n a b u	3	21579	d i n a - - b u		2252	path	Oliveira 93
2651	Kabiyari	PATH	apú-há	a p ú h á	4	14	a p ú - h á - -		2252	path	Epps
2653	Kabiyari	PATH	jóopu	j ó o p u	4	21579	- - j ó o - p u		2252	path	Epps
2655	Kabiyari	PATH	ajápú	a j á p ú	4	21579	- a j á - - p ú		2252	path	Epps
2657	Piapoco	PATH	àjapu	à j a p u	5	21579	- à j a - - p u		2252	path	Epps
2659	Resigaro	PATH	aǰápó	a dʒ á p ó	6	21579	- a dʒ á - - p ó		2252	path	Epps
2661	Resigaro	PATH	éhuúhí	éh u ú h í	6	14	éh - u ú h í - -		2252	path	Epps
2665	Tariana	PATH		h i n í p u	7	21579	h i n í - - p u		2252	path	Aikhenvald 2001
2667	Yukuna	PATH	iñeʔepú	i ñ e ʔ e p ú	9	21579	- i ñ e ʔ e p ú		2252	path	Schauer 2005
2669	Warekena	PATH		e p u n a	8	14	e p u - - - n a		2252	path	Aikhenvald 2012
2671	Warekena	PATH		t e n e p u	8	21579	t e n e - - p u		2252	path	Aikhenvald 2012
5012	Kauixana	PATH	eɲépo	e ɲ é p o	15	21579	- e ɲ é - - p o	caminho			
6015	Kauixana	PATH	iɲépo	i ɲ é p o	15	21579	- i ɲ é - - p o				
580	Achagua	CLOUD	sáanai	s aa n a i	1	143			1489	cloud	Melendez 2011
592	Baniwa	CLOUD	eenótona	ee n ó t o n a	2	2009	- ee - n ó t o n a - - - - - - - -		1489	cloud	Ramirez 2001
604	Baniwa	CLOUD	idzadawäka	i dz a d a w a k a	2	64	- i dz a ( d a w a k a )		1489	cloud	Ramirez 2001
616	Baré	CLOUD		n u v e	3	238			1489	cloud	Oliveira 93
628	Piapoco	CLOUD	acalèe	a k a l è e	5	150	- - - - - - - - a k a - - l è e		1489	cloud	Epps
640	Resigaro	CLOUD	iítshú	i í tsh ú	6	64	i í tsh ú ( - - - - - - )		1489	cloud	Allin 1979
652	Tariana	CLOUD		i j a k ú m a	7	64	- i j a ( k ú m a - - )		1489	cloud	Epps
664	Yukuna	CLOUD	[juni]juwáka'ala	h u n i _ h u w á k a ʔ a l a	9	150	h u n i _ h u w á k a ʔ a l a -		1489	cloud	Epps
678	Warekena	CLOUD		a ʃ i b u n a p i	8	149			1489	cloud	Aikhenvald 2012
690	Warekena	CLOUD		w i ts i	8	64	w i ts i - - - - - -		1489	cloud	Aikhenvald 2012
1900	Baniwa_Waliperidakenai	CLOUD	enutenɐ̃	e n u t e n ɐ̃	11	2009	- e - n u t e n ɐ̃ - - - - - - - -	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1902	Baniwa_Hohoodene	CLOUD	ɛnutona	ɛ n u t o n a	4	2009	- ɛ - n u t o n a - - - - - - - -	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1904	Baniwa_Dzurema	CLOUD	dzadawaka	dz a d a w a k a	2	64	- - dz a ( d a w a k a )	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1908	Baniwa_Mauliene	CLOUD	tamana	t a m a n a	8	64	- - - - ( t a m a n a )	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1910	Koripako_Kumadene	CLOUD	einu	e i n u	7	2009	- e i n u - - - - - - - - - - - -	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1912	Tariana_Kumadene	CLOUD	ithɐpɛdapɛ	i tʰ ɐ p ɛ d a p ɛ	6	64	- i tʰ ɐ ( p ɛ d a p ɛ )	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1914	Baniwa_Kowaidakenai	CLOUD	novi	n o v i	5	238		nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1916	Baniwa_Dzawinai	CLOUD	idzadaaka	i dz a d aː k a	14	64	- i dz a ( d aː - - k a )	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1918	Tariana_Bruzzi	CLOUD	jenʰuniːsakumã	j e nʰ u n iː s a k u m ã	12	2009	j e - nʰ u - - - - n iː s a k u m ã	nuvem	1489	cloud	Bruzzi Alves da Silva 1961
1920	Koripako_aha	CLOUD	iːja	iː j a	1	64	- iː j a ( - - - - - - )	nuvem	1489	cloud	Granadillo 2006
1922	Koripako_ehe	CLOUD	itamana	i t a m a n a	3	64	- i t a ( m a n a - - )	nuvem	1489	cloud	Granadillo 2006
1924	Koripako_oho	CLOUD	idzadaoka	i dz a d a o k a	10	64	- i dz a ( d a - o k a )	nuvem	1489	cloud	Granadillo 2006
1926	Koripako_name	CLOUD	itamana	i t a m a n a	9	64	- i t a ( m a n a - - )	nuvem	1489	cloud	Granadillo 2006
1930	Werekena_Baniva	CLOUD	sjaɾiɾi	s j a ɾ i ɾ i	13	21493		nuvem	1489	cloud	Bruzzi Alves da Silva 1961
597	Tariana_Kumadene	PEOPLE OR PERSON	nawikimasitɛ	n a w i k i # m a s i t ɛ	6	21580	- - n a - w i k i # m a s i t ɛ	Pessoa Civilizado	2661	person, civilized	Bruzzi Alves da Silva 1961
2673	Achagua	PEOPLE OR PERSON	wenàiwica	w e n à i w i k a	1	21580	w e n à i w i - - - - - k a - -		2661	person	Epps
2675	Baniwa	PEOPLE OR PERSON	newíki	n e w í k i	2	21580	- - n e - w í - - - - - k i - -		2661	person	Ramirez 2001
